window_last_date_utc,il_pct,p_up_start,p_up_end,metric_start,metric_end,metric_min,metric_max,start_price_range_begin,start_price_range_end
2025-06-18,-16.232184080956213,0.10465157544114712,0.43533243607578553,0.10976759866763591,0.2354263257087985,0.07,0.45,2023-03-30,2025-06-05
2025-06-19,-16.858994910753978,0.08890543973191879,0.4204343184709781,0.11289501270080995,0.2355606978342619,0.08,0.45,2023-03-30,2025-06-06
2025-06-20,-14.257525042351437,0.07476035580335066,0.36495355604905955,0.11602554765839053,0.2364557257603597,0.085,0.5,2023-03-30,2025-06-07
2025-06-21,-13.493072898744096,0.0822530712176844,0.3667139506345923,0.11913502455533903,0.2371862895133558,0.085,0.5,2023-03-30,2025-06-08
2025-06-22,-13.366019771139237,0.07857438097846038,0.359223079589239,0.12221549620116876,0.237281462631588,0.09,0.5,2023-03-30,2025-06-09
2025-06-23,-10.733914839619473,0.0748152131318177,0.3166336676274691,0.12530016131838617,0.223236635389125,0.095,0.5,2023-03-30,2025-06-10
2025-06-24,-8.362320056069583,0.08238193941164082,0.29283723624016783,0.12836468546171453,0.213599080677268,0.095,0.5,2023-03-30,2025-06-11
2025-06-25,-5.83995236559709,0.08994276939215196,0.2618887482072963,0.13142682160382155,0.201064943023955,0.095,0.5,2023-03-30,2025-06-12
2025-06-26,-5.345902244211409,0.09749339542259823,0.2634607817066523,0.1344848251461523,0.2017016165911942,0.095,0.5,2023-03-30,2025-06-13
2025-06-27,-5.266271662328858,0.09385815516811148,0.256956039134206,0.1375432620672446,0.2027824156536824,0.1,0.5,2023-03-30,2025-06-14
2025-06-28,-4.696479960202882,0.10146680314712553,0.25651127549653446,0.14058672125885022,0.2026045101986138,0.1,0.5,2023-03-30,2025-06-15
2025-06-29,-4.181627051370318,0.10906472152211334,0.2562656432363415,0.14362588860884534,0.2025062572945366,0.1,0.5,2023-03-30,2025-06-16
2025-06-30,-3.744101182509696,0.11649214729890132,0.2566159697655497,0.14659685891956054,0.2026463879062199,0.1,0.5,2023-03-30,2025-06-17
2025-07-01,-3.3081661898117676,0.12393761375195878,0.25628927154607073,0.14957504550078352,0.2025157086184283,0.1,0.5,2023-03-30,2025-06-18
2025-07-02,-5.080725287752774,0.13136019942608435,0.3026583491435742,0.15254407977043374,0.2210633396574297,0.1,0.5,2023-03-30,2025-06-19
2025-07-03,-4.781381667846807,0.13878016655294192,0.3059183837039065,0.15551206662117678,0.2223673534815626,0.1,0.5,2023-03-30,2025-06-20
2025-07-04,-4.373399446288795,0.14622184268288227,0.30661749871469746,0.15848873707315292,0.222646999485879,0.1,0.5,2023-03-30,2025-06-21
